kepid,koi_pdisposition,confidence,koi_period,koi_prad,koi_teq,koi_duration,koi_impact,koi_insol
9910828,FALSE POSITIVE,0.8485614798045958,8.48032079,0.95,759.0,5.791,0.004,78.45
8162790,FALSE POSITIVE,0.8484770046016287,10.16104834,2.72,800.0,3.0448,0.031,96.98
5481148,FALSE POSITIVE,0.84822936277698,22.023514,4.79,639.0,1.932,0.934,39.45
6695622,FALSE POSITIVE,0.8480010754851579,14.5567427,1.38,783.0,1.421,0.4308,89.02
9873759,FALSE POSITIVE,0.8477716106041422,4.99473798,0.82,917.0,3.05,0.46,167.06
5871116,FALSE POSITIVE,0.8476805979611473,54.432903,1.41,404.0,3.554,0.099,6.29
2437505,FALSE POSITIVE,0.847568401625535,17.5509742,5.97,700.0,4.064,0.2023,56.9
5956354,FALSE POSITIVE,0.8471949015314046,8.0386699,1.18,926.0,3.549,0.399,173.92
6444896,FALSE POSITIVE,0.8470478552154741,19.5352551,0.53,161.0,1.013,0.702,0.16
6862332,FALSE POSITIVE,0.8463108642927665,119.0192648,4.44,350.0,8.1,0.79,3.53
11046870,FALSE POSITIVE,0.8457413760462872,8.34410791,1.75,993.0,1.606,0.546,229.93
7840044,FALSE POSITIVE,0.8456281071627761,13.54204116,2.01,794.0,3.334,0.722,93.98
8345172,FALSE POSITIVE,0.8453388980610826,50.5715805,2.74,406.0,3.726,0.074,6.44
7203326,FALSE POSITIVE,0.8450475477712679,9.087508013,1.37,987.0,2.7597,0.511,224.7
7741837,FALSE POSITIVE,0.8447782977513857,62.366706,1.88,698.0,4.32,0.1725,56.09
3847708,FALSE POSITIVE,0.8445982743605371,3.741231778,1.55,951.0,2.469,0.25,193.55
6964159,FALSE POSITIVE,0.8443248242263873,25.503628,1.61,586.0,3.913,0.953,27.85
9092496,FALSE POSITIVE,0.844190826636583,94.180473,4.17,478.0,7.345,0.955,12.34
12459725,FALSE POSITIVE,0.8439067089250042,14.1798187,1.88,711.0,2.505,0.1601,60.35
8750503,FALSE POSITIVE,0.8438342278905231,11.9283194,0.98,632.0,6.69,0.052,37.8
4914709,FALSE POSITIVE,0.8438035751625603,8.65303996,1.88,764.0,1.091,0.369,80.51
10679583,FALSE POSITIVE,0.8437288427698757,3.54789928,0.99,987.0,2.861,0.325,224.45
10514430,FALSE POSITIVE,0.8434348259569645,20.71927223,2.51,818.0,4.0388,0.744,105.78
5697628,FALSE POSITIVE,0.8431553491837842,1.95119541,0.47,1050.0,1.907,0.1533,287.41
8192911,FALSE POSITIVE,0.8429777493768412,7.53887442,1.33,751.0,3.147,0.727,75.14
11599038,FALSE POSITIVE,0.8420923264882901,9.27989,1.29,897.0,3.33,0.579,152.86
3230206,FALSE POSITIVE,0.8419984880987297,7.04715073,1.54,932.0,1.434,0.272,178.49
